imdbid,bechdel_rating,title,year,binary,budget_2013,domgross_2013,intgross_2013,genres,A,B,C,averageRating,numVotes
161081,3,What Lies Beneath,2000,PASS,121761754,210329023.0,390576517.0,"Drama,Fantasy,Horror",Drama,Fantasy,Horror,6.6,111665
207201,1,What Women Want,2000,FAIL,87939045,247318583.0,503417209.0,"Comedy,Fantasy,Romance",Comedy,Fantasy,Romance,6.4,182643
198021,3,Where the Heart Is,2000,PASS,20293626,45689304.0,55282615.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.8,30555
190332,3,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",2000,PASS,20293626,173264011.0,288440067.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,7.8,242542
120903,1,X-Men,2000,FAIL,101468129,212812106.0,400920487.0,"Action,Adventure,Sci-Fi",Action,Adventure,Sci-Fi,7.4,544650
147800,3,10 Things I Hate About You,1999,PASS,18180006,53390436.0,84486720.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.3,274838
120657,1,"13th Warrior, The",1999,FAIL,174807753,45728169.0,86283567.0,"Action,Adventure,History",Action,Adventure,History,6.6,111702
166485,3,Anna and the King,1999,FAIL,104884652,54891212.0,54891212.0,"Drama,History,Romance",Drama,History,Romance,6.7,34449
145660,1,Austin Powers: The Spy Who Shagged Me,1999,FAIL,48946171,288139235.0,433988407.0,"Action,Adventure,Comedy",Action,Adventure,Comedy,6.6,206554
120601,3,Being John Malkovich,1999,PASS,18180006,31967340.0,45285530.0,"Comedy,Drama,Fantasy",Comedy,Drama,Fantasy,7.7,292160
165643,3,Black and White,1999,PASS,13984620,7329780.0,7329780.0,"Crime,Drama,Music",Crime,Drama,Music,4.9,5403
181316,1,Blue Streak,1999,FAIL,50344633,95386564.0,164246788.0,"Action,Comedy,Crime",Action,Comedy,Crime,6.3,70054
144117,0,"Boondock Saints, The",1999,FAIL,9789234,42613.0,575990.0,"Action,Crime,Thriller",Action,Crime,Thriller,7.8,218882
171804,3,Boys Don&#39;t Cry,1999,PASS,2796924,16139101.0,29005501.0,"Biography,Crime,Drama",Biography,Crime,Drama,7.5,88153
179116,3,But I&#39;m a Cheerleader,1999,PASS,1678154,3084486.0,3676824.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,6.6,23825
144814,3,Carrie 2: The Rage,1999,PASS,29367703,24837027.0,24837027.0,"Horror,Sci-Fi,Thriller",Horror,Sci-Fi,Thriller,4.7,14771
120655,3,Dogma,1999,FAIL,13984620,42864850.0,61460819.0,"Adventure,Comedy,Drama",Adventure,Comedy,Drama,7.3,200387
157503,3,Drop Dead Gorgeous,1999,PASS,13984620,14783713.0,14783713.0,"Comedy,Romance,Thriller",Comedy,Romance,Thriller,6.6,30848
126886,3,Election,1999,PASS,11886927,20898032.0,24057538.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.2,84245
120663,3,Eyes Wide Shut,1999,PASS,90900032,77882040.0,120627912.0,"Drama,Mystery,Thriller",Drama,Mystery,Thriller,7.4,277623
155711,1,Flawless,1999,FAIL,37758475,6272780.0,6272780.0,"Comedy,Crime,Drama",Comedy,Crime,Drama,6.5,16713
126916,2,For Love of the Game,1999,FAIL,69923101,49209977.0,64486776.0,"Drama,Romance,Sport",Drama,Romance,Sport,6.6,29957
177789,1,Galaxy Quest,1999,FAIL,62930791,99883369.0,126593993.0,"Adventure,Comedy,Sci-Fi",Adventure,Comedy,Sci-Fi,7.3,139462
120689,1,"Green Mile, The",1999,FAIL,83907722,191311527.0,406534833.0,"Crime,Drama,Fantasy",Crime,Drama,Fantasy,8.6,1043159
171363,3,"Haunting, The",1999,PASS,111876962,127524221.0,251987342.0,"Fantasy,Horror,Mystery",Fantasy,Horror,Mystery,5.0,67724
129167,0,"Iron Giant, The",1999,FAIL,69923101,32387409.0,43819293.0,"Action,Adventure,Animation",Action,Adventure,Animation,8.0,160161
155776,3,Jawbreaker,1999,PASS,4195386,4302816.0,4302816.0,"Comedy,Crime,Thriller",Comedy,Crime,Thriller,5.6,22593
120616,1,"Mummy, The",1999,FAIL,111876962,217300705.0,582299294.0,"Action,Adventure,Fantasy",Action,Adventure,Fantasy,7.0,371422
158811,3,Muppets From Space,1999,PASS,33563089,22801624.0,22801624.0,"Adventure,Comedy,Family",Adventure,Comedy,Family,6.3,17090
132347,1,Mystery Men,1999,FAIL,95095418,41621042.0,46795352.0,"Action,Comedy,Fantasy",Action,Comedy,Fantasy,6.1,59399
125439,3,Notting Hill,1999,PASS,58735405,162347007.0,508660113.0,"Comedy,Drama,Romance",Comedy,Drama,Romance,7.1,250347
120784,1,Payback,1999,FAIL,69923101,114011185.0,226027993.0,"Action,Crime,Drama",Action,Crime,Drama,7.1,125907
190641,1,Pocket Monsters: Mewtwo Strikes Back!,1999,FAIL,41953861,119910654.0,228850846.0,"Action,Adventure,Animation",Action,Adventure,Animation,6.2,37175
129332,1,Ravenous,1999,FAIL,16781544,2884196.0,2884196.0,"Adventure,Comedy,Horror",Adventure,Comedy,Horror,7.0,34748
167404,3,"Sixth Sense, The",1999,FAIL,55938481,410457404.0,940894052.0,"Drama,Mystery,Thriller",Drama,Mystery,Thriller,8.1,858116
162661,3,Sleepy Hollow,1999,PASS,97892342,141340236.0,289577211.0,"Fantasy,Horror,Mystery",Fantasy,Horror,Mystery,7.3,310419
158983,3,South Park: Bigger Longer &amp; Uncut,1999,FAIL,29367703,72772612.0,72772612.0,"Animation,Comedy,Fantasy",Animation,Comedy,Fantasy,7.7,184472
