bechdel_rating,title,year,binary,budget_2013$,domgross_2013$,intgross_2013$,genres,averageRating,numVotes
3,"Dark Knight, The",2008,FAIL,200217418,577216380.0,1085385502.0,"Action,Crime,Drama",9.0,2115578
3,"Day the Earth Stood Still, The",2008,PASS,86580505,85895413.0,252238208.0,"Drama,Sci-Fi,Thriller",5.5,157435
1,Death Race,2008,FAIL,70346660,39303255.0,78481785.0,"Action,Sci-Fi,Thriller",6.4,189802
3,"Definitely, Maybe",2008,PASS,7575794,34893728.0,60458935.0,"Comedy,Drama,Romance",7.1,147928
3,Doomsday,2008,PASS,35714458,11914311.0,23399667.0,"Action,Sci-Fi,Thriller",6.0,69827
3,Doubt,2008,PASS,21645126,36197653.0,55137666.0,"Drama,Mystery",7.5,115184
3,Easy Virtue,2008,PASS,15151588,2875321.0,13697884.0,"Comedy,Romance",6.7,19224
3,"Eye, The",2008,PASS,12987076,34003083.0,61600619.0,"Drama,Horror,Mystery",5.4,49598
0,Fly Me to the Moon,2008,FAIL,27056408,15740274.0,62280329.0,"Adventure,Animation,Family",4.5,4030
1,"Forbidden Kingdom, The",2008,FAIL,59524097,56358790.0,139692526.0,"Action,Adventure,Fantasy",6.6,97799
3,Forgetting Sarah Marshall,2008,PASS,32467689,68368797.0,113824188.0,"Comedy,Drama,Romance",7.1,250831
3,Four Christmases,2008,PASS,86580505,130028810.0,176998734.0,"Comedy,Drama,Romance",5.6,58777
1,Frost/Nixon,2008,FAIL,31385433,20153811.0,30459656.0,"Biography,Drama,History",7.7,97866
3,Frozen River,2008,PASS,1082256,2718061.0,6526145.0,"Crime,Drama",7.1,23814
3,Gake no ue no Ponyo,2008,PASS,36796715,16331680.0,222200929.0,"Adventure,Animation,Comedy",7.7,109638
1,Ghost Town,2008,FAIL,21645126,14342754.0,28801384.0,"Comedy,Drama,Fantasy",6.7,66503
0,Hancock,2008,FAIL,162338447,246696294.0,675702695.0,"Action,Fantasy",6.4,419260
3,High School Musical 3: Senior Year,2008,PASS,11904819,98008500.0,296963426.0,"Comedy,Drama,Family",4.7,53826
3,"House Bunny, The",2008,PASS,27056408,52205219.0,76014858.0,"Comedy,Romance",5.5,75377
1,"Hurt Locker, The",2008,FAIL,16233845,18417633.0,53998338.0,"Drama,Thriller,War",7.6,398034
2,Igor,2008,FAIL,32467689,21134953.0,33564393.0,"Animation,Comedy,Family",6.0,21628
1,In Bruges,2008,FAIL,16233845,8442492.0,37374405.0,"Comedy,Crime,Drama",7.9,368547
1,"Incredible Hulk, The",2008,FAIL,148810243,145895632.0,285085699.0,"Action,Adventure,Sci-Fi",6.7,410221
1,Indiana Jones and the Kingdom of the Crystal Skull,2008,FAIL,200217418,343101064.0,851257517.0,"Action,Adventure",6.1,399411
3,Inkheart,2008,PASS,64935379,18726740.0,62826552.0,"Adventure,Family,Fantasy",6.1,70061
2,Iron Man,2008,FAIL,201299674,344811326.0,630352749.0,"Action,Adventure,Sci-Fi",7.9,883427
1,Journey to the Center of the Earth,2008,FAIL,48701534,110070196.0,260720275.0,"Action,Adventure,Family",5.8,106257
1,Jumper,2008,FAIL,89286146,87844867.0,241465674.0,"Action,Adventure,Sci-Fi",6.1,275156
3,Kung Fu Panda,2008,FAIL,140693320,233155446.0,683889160.0,"Action,Adventure,Animation",7.5,389398
3,"Lucky Ones, The",2008,PASS,15151588,288927.0,288927.0,"Comedy,Drama,War",6.9,12980
2,Made of Honor,2008,FAIL,43290252,49797572.0,115313044.0,"Comedy,Romance",5.9,63995
3,Max Payne,2008,PASS,37878971,44034081.0,92816237.0,"Action,Crime,Drama",5.4,118476
1,Meet Dave,2008,FAIL,64935379,12774146.0,54814990.0,"Adventure,Comedy,Family",5.0,36503
1,Milk,2008,FAIL,21645126,34460447.0,62006112.0,"Biography,Drama",7.5,157524
3,Nick and Norah&#39;s Infinite Playlist,2008,PASS,10822563,34077322.0,36303849.0,"Comedy,Drama,Music",6.6,85591
3,Nim&#39;s Island,2008,PASS,40043484,51955621.0,101820495.0,"Adventure,Family,Fantasy",6.0,31951
3,"Other Boleyn Girl, The",2008,PASS,43290252,29020656.0,84107503.0,"Biography,Drama,History",6.7,98257
2,Pineapple Express,2008,FAIL,28138664,94525760.0,109902346.0,"Action,Comedy,Crime",7.0,298812
3,Possession,2008,PASS,27056408,10934736.0,16023683.0,"Drama,Horror,Mystery",5.6,6887
3,Prom Night,2008,PASS,19480614,47477881.0,61807319.0,"Horror,Mystery",3.9,32331
1,Quantum of Solace,2008,FAIL,248918952,183300049.0,640362486.0,"Action,Adventure,Thriller",6.6,382022
1,"Reader, The",2008,FAIL,35173330,37007113.0,122315840.0,"Drama,Romance",7.6,220190
3,Revolutionary Road,2008,PASS,48701534,24796094.0,86109680.0,"Drama,Romance",7.3,181560
3,"Secret Life of Bees, The",2008,PASS,11904819,40876996.0,43272961.0,Drama,7.3,22923
3,Seven Pounds,2008,PASS,58441841,75705803.0,180322655.0,Drama,7.6,272135
3,Sex and the City,2008,PASS,62229738,165203458.0,449403966.0,"Comedy,Drama,Romance",5.6,111501
1,Slumdog Millionaire,2008,FAIL,15151588,152944384.0,416148834.0,"Drama,Romance",8.0,756816
3,Speed Racer,2008,PASS,129870757,47560583.0,101076746.0,"Action,Adventure,Comedy",6.0,65928
1,Step Brothers,2008,FAIL,70346660,108732985.0,139036162.0,Comedy,6.9,250885
3,"Strangers, The",2008,FAIL,9740307,56924095.0,89883201.0,"Horror,Mystery,Thriller",6.2,111850
3,Sunshine Cleaning,2008,PASS,5411282,13054780.0,17816707.0,"Comedy,Drama",6.8,67602
